step,loss,gap,ff,fp,tp,cross_batch,hf_rows_consumed
25,9.41057300567627,0.0029674172401428223,0.40938693284988403,0.4064195156097412,0.32174956798553467,0.38155463337898254,2400
26,9.415369987487793,0.002339959144592285,0.3993092477321625,0.3969692885875702,0.2985224425792694,0.3722371459007263,2496
27,9.22729206085205,0.00273972749710083,0.42732593417167664,0.4245862066745758,0.3130183517932892,0.39651933312416077,2592
28,8.983558654785156,0.003882288932800293,0.43160703778266907,0.4277247488498688,0.330784410238266,0.39907780289649963,2688
29,9.247236251831055,0.005028277635574341,0.4392358660697937,0.43420758843421936,0.2965306043624878,0.4107537269592285,2784
30,8.947924613952637,0.0037565231323242188,0.45863598585128784,0.4548794627189636,0.33727434277534485,0.4279484748840332,2880
31,8.963332176208496,0.003357410430908203,0.46905702352523804,0.46569961309432983,0.3057631552219391,0.44104087352752686,2976
32,8.874873161315918,0.004420757293701172,0.48063117265701294,0.47621041536331177,0.31421831250190735,0.45061996579170227,3072
33,8.469338417053223,0.005283832550048828,0.5107957124710083,0.5055118799209595,0.3848051428794861,0.47528451681137085,3168
34,8.528382301330566,0.003897547721862793,0.5274817943572998,0.523584246635437,0.3896620571613312,0.49242499470710754,3264
35,8.543973922729492,0.00405508279800415,0.5096817016601562,0.5056266188621521,0.38551709055900574,0.4756927490234375,3360
36,8.596311569213867,0.004964590072631836,0.5212143659591675,0.5162497758865356,0.3549996614456177,0.493851900100708,3456
37,8.338739395141602,0.005091309547424316,0.5358750224113464,0.5307837128639221,0.3783983290195465,0.5088446736335754,3552
38,8.221518516540527,0.004677116870880127,0.5503709316253662,0.5456938147544861,0.4054080843925476,0.5222814679145813,3648
39,8.373737335205078,0.006253063678741455,0.534662127494812,0.5284090638160706,0.38739633560180664,0.5052102208137512,3744
40,8.083780288696289,0.004413247108459473,0.5565728545188904,0.5521596074104309,0.3996230363845825,0.5277477502822876,3840
41,8.20492935180664,0.00464320182800293,0.5715354681015015,0.5668922662734985,0.430632084608078,0.5422622561454773,3936
42,8.051921844482422,0.006084799766540527,0.5906137228012085,0.584528923034668,0.44979995489120483,0.5571339130401611,4032
43,8.09608268737793,0.008056640625,0.5921118259429932,0.5840551853179932,0.47397980093955994,0.5591713190078735,4128
44,8.17354965209961,0.004368603229522705,0.587978184223175,0.5836095809936523,0.47261977195739746,0.5569444298744202,4224
45,7.990982532501221,0.006929755210876465,0.5909926891326904,0.584062933921814,0.4613000750541687,0.5589100122451782,4320
46,7.989799976348877,0.007211446762084961,0.5890883803367615,0.5818769335746765,0.4305987060070038,0.557959794998169,4416
47,7.811835765838623,0.006189465522766113,0.6177823543548584,0.6115928888320923,0.5324846506118774,0.5837752819061279,4512
48,7.998830795288086,0.006090402603149414,0.6047872304916382,0.5986968278884888,0.47530460357666016,0.5721180438995361,4608
49,7.829207420349121,0.004375815391540527,0.6225613355636597,0.6181855201721191,0.522432267665863,0.5850017070770264,4704
50,7.6996378898620605,0.006779074668884277,0.6299077272415161,0.6231286525726318,0.5059535503387451,0.5934770703315735,4800
51,7.686106204986572,0.006219744682312012,0.6378743052482605,0.6316545605659485,0.5488317608833313,0.5997406244277954,4896
52,7.666162014007568,0.0036003589630126953,0.6319464445114136,0.6283460855484009,0.5234776139259338,0.5970600843429565,4992
53,7.671535015106201,0.00685274600982666,0.6409475207328796,0.634094774723053,0.512497067451477,0.59921795129776,5088
54,7.573423862457275,0.006957888603210449,0.6474249362945557,0.6404670476913452,0.5333897471427917,0.6084045171737671,5184
