run,step,ema_tau
align_teacher_a09,62500,0.9
align_teacher_a09,62600,0.9
align_teacher_a09,62700,0.9
align_teacher_a09,62800,0.9
align_teacher_a09,62900,0.9
align_teacher_a09,63000,0.9
align_teacher_a09,63100,0.9
align_teacher_a09,63200,0.9
align_teacher_a09,63300,0.9
align_teacher_a09,63400,0.9
align_teacher_a09,63500,0.9
align_teacher_a09,63600,0.9
align_teacher_a09,63700,0.9
align_teacher_a09,63800,0.9
align_teacher_a09,63900,0.9
align_teacher_a09,64000,0.9
align_teacher_a09,64100,0.9
align_teacher_a09,64200,0.9
align_teacher_a09,64300,0.9
align_teacher_a09,64400,0.9
align_teacher_a09,64500,0.9
align_teacher_a09,64600,0.9
align_teacher_a09,64700,0.9
align_teacher_a09,64800,0.9
align_teacher_a09,64900,0.9
align_teacher_a09,65000,0.9
align_teacher_a09,65100,0.9
align_teacher_a09,65200,0.9
align_teacher_a09,65300,0.9
align_teacher_a09,65400,0.9
align_teacher_a09,65500,0.9
align_teacher_a09,65600,0.9
align_teacher_a09,65700,0.9
align_teacher_a09,65800,0.9
align_teacher_a09,65900,0.9
align_teacher_a09,66000,0.9
align_teacher_a09,66100,0.9
align_teacher_a09,66200,0.9
align_teacher_a09,66300,0.9
align_teacher_a09,66400,0.9
align_teacher_a09,66500,0.9
align_teacher_a09,66600,0.9
align_teacher_a09,66700,0.9
align_teacher_a09,66800,0.9
align_teacher_a09,66900,0.9
align_teacher_a09,67000,0.9
align_teacher_a09,67100,0.9
align_teacher_a09,67200,0.9
align_teacher_a09,67300,0.9
align_teacher_a09,67400,0.9
align_teacher_a09,67500,0.9
align_teacher_a09,67600,0.9
align_teacher_a09,67700,0.9
align_teacher_a09,67800,0.9
align_teacher_a09,67900,0.9
align_teacher_a09,68000,0.9
align_teacher_a09,68100,0.9
align_teacher_a09,68200,0.9
align_teacher_a09,68300,0.9
align_teacher_a09,68400,0.9
align_teacher_a09,68500,0.9
align_teacher_a09,68600,0.9
align_teacher_a09,68700,0.9
align_teacher_a09,68800,0.9
align_teacher_a09,68900,0.9
align_teacher_a09,69000,0.9
align_teacher_a09,69100,0.9
align_teacher_a09,69200,0.9
align_teacher_a09,69300,0.9
align_teacher_a09,69400,0.9
align_teacher_a09,69500,0.9
align_teacher_a09,69600,0.9
align_teacher_a09,69700,0.9
align_teacher_a09,69800,0.9
align_teacher_a09,69900,0.9
align_teacher_a09,70000,0.9
align_teacher_a09,70100,0.9
align_teacher_a09,70200,0.9
