run,arm,alpha,latent,kind,step,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
align,align,none,student_h,vs_initial,40000,5000,35000,0.936744,0.000035,0.936709,0.023830
align,align,none,student_h,adjacent,45000,40000,5000,0.013300,0.000001,0.013299,0.020764
align,align,none,student_h,vs_initial,45000,5000,40000,0.963867,0.000035,0.963832,0.007188
align,align,none,student_h,adjacent,50000,45000,5000,0.069159,0.000000,0.069159,0.018408
align,align,none,student_h,vs_initial,50000,5000,45000,1.016820,0.000034,1.016786,0.001328
align,align,none,student_h,adjacent,55000,50000,5000,0.475621,0.000003,0.475618,0.018402
align,align,none,student_h,vs_initial,55000,5000,50000,0.844097,0.000035,0.844063,0.006602
align,align,none,student_h,adjacent,60000,55000,5000,0.184089,-0.000000,0.184089,0.166743
align,align,none,student_h,vs_initial,60000,5000,55000,0.846613,0.000035,0.846579,0.003054
align,align,none,student_h,adjacent,65000,60000,5000,0.195504,-0.000000,0.195504,0.074271
align,align,none,student_h,vs_initial,65000,5000,60000,0.826196,0.000035,0.826161,0.002878
align,align,none,student_h,adjacent,70000,65000,5000,0.422945,-0.000001,0.422945,0.000778
align,align,none,student_h,vs_initial,70000,5000,65000,0.921483,0.000034,0.921449,0.000030
align,align,none,student_h,adjacent,75000,70000,5000,0.666933,-0.000003,0.666936,0.000015
align,align,none,student_h,vs_initial,75000,5000,70000,0.995131,0.000035,0.995096,0.000009
align,align,none,student_h,adjacent,80000,75000,5000,0.126830,-0.000003,0.126833,0.000000
align,align,none,student_h,vs_initial,80000,5000,75000,1.031931,0.000034,1.031897,0.000000
align,align,none,student_h,adjacent,85000,80000,5000,0.023576,-0.000003,0.023579,0.000000
align,align,none,student_h,vs_initial,85000,5000,80000,0.977431,0.000034,0.977397,0.000000
align,align,none,student_h,adjacent,90000,85000,5000,0.757472,-0.000001,0.757473,0.000000
align,align,none,student_h,vs_initial,90000,5000,85000,1.222247,0.000036,1.222211,0.000126
align,align,none,student_h,adjacent,95000,90000,5000,0.107750,0.000000,0.107750,0.001240
align,align,none,student_h,vs_initial,95000,5000,90000,1.116647,0.000035,1.116612,0.000172
align,align,none,student_h,adjacent,100000,95000,5000,0.311007,-0.000000,0.311008,0.000000
align,align,none,student_h,vs_initial,100000,5000,95000,1.237727,0.000035,1.237692,0.000000
sigreg_e,sigreg_e,none,student_h,adjacent,10000,5000,5000,0.159008,0.123614,0.035394,0.777176
sigreg_e,sigreg_e,none,student_h,vs_initial,10000,5000,5000,0.159008,0.123614,0.035394,0.777176
sigreg_e,sigreg_e,none,student_h,adjacent,15000,10000,5000,0.094868,0.074413,0.020456,0.880221
sigreg_e,sigreg_e,none,student_h,vs_initial,15000,5000,10000,0.294192,0.205145,0.089046,0.671961
sigreg_e,sigreg_e,none,student_h,adjacent,20000,15000,5000,0.066209,0.052256,0.013953,0.915372
