arm,recipe,step,ckpt_kind,backbone_ckpt,u_batchtime,u_batchtime_e
emb100_enc100,"λ_e=10.0, λ_h=10.0",7500,step_7500,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc100_7k.pth,0.762228,0.044442
emb100_enc100,"λ_e=10.0, λ_h=10.0",10000,step_10000,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc100_10k.pth,0.758275,0.052644
emb100_enc100,"λ_e=10.0, λ_h=10.0",12500,step_12500,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc100_12k.pth,0.753232,0.058687
emb100_enc100,"λ_e=10.0, λ_h=10.0",1300,best_loss,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc100_best_loss.pth,0.366329,0.013695
emb100_enc100,"λ_e=10.0, λ_h=10.0",12300,best_gap,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc100_best_gap.pth,0.751452,0.059624
emb100_enc100,"λ_e=10.0, λ_h=10.0",12500,final,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc100_final.pth,0.753232,0.058687
emb100_enc100,"λ_e=10.0, λ_h=10.0",,FINAL,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb100_enc100_FINAL.pth,0.366329,0.013695
emb1000_enc01,"λ_e=100.0, λ_h=0.1",2500,step_2500,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb1000_enc01_2k.pth,0.306832,0.014177
emb1000_enc01,"λ_e=100.0, λ_h=0.1",5000,step_5000,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb1000_enc01_5k.pth,0.285246,0.012735
emb1000_enc01,"λ_e=100.0, λ_h=0.1",7500,step_7500,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb1000_enc01_7k.pth,0.246350,0.012761
emb1000_enc01,"λ_e=100.0, λ_h=0.1",10000,step_10000,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb1000_enc01_10k.pth,0.305982,0.014062
emb1000_enc01,"λ_e=100.0, λ_h=0.1",12500,step_12500,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb1000_enc01_12k.pth,0.337843,0.017447
emb1000_enc01,"λ_e=100.0, λ_h=0.1",1700,best_loss,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb1000_enc01_best_loss.pth,0.314445,0.015448
emb1000_enc01,"λ_e=100.0, λ_h=0.1",1800,best_gap,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb1000_enc01_best_gap.pth,0.300854,0.015539
emb1000_enc01,"λ_e=100.0, λ_h=0.1",12500,final,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb1000_enc01_final.pth,0.337843,0.017447
emb1000_enc01,"λ_e=100.0, λ_h=0.1",,FINAL,../contrastive-forecasting-363/experiments/2026-06-24_sigreg_lambda_sweep/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb1000_enc01_FINAL.pth,0.314445,0.015448
anchor_emb01,"λ_e=0.1, λ_h=0.1 (#355 anchor)",2500,step_2500,../contrastive-forecasting-355/reports/2026-06-20_lejepa_sigreg/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_2k.pth,0.569049,0.016433
anchor_emb01,"λ_e=0.1, λ_h=0.1 (#355 anchor)",5000,step_5000,../contrastive-forecasting-355/reports/2026-06-20_lejepa_sigreg/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_5k.pth,0.756946,0.024110
anchor_emb01,"λ_e=0.1, λ_h=0.1 (#355 anchor)",7500,step_7500,../contrastive-forecasting-355/reports/2026-06-20_lejepa_sigreg/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_7k.pth,0.772685,0.034104
anchor_emb01,"λ_e=0.1, λ_h=0.1 (#355 anchor)",10000,step_10000,../contrastive-forecasting-355/reports/2026-06-20_lejepa_sigreg/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_10k.pth,0.767581,0.039702
anchor_emb01,"λ_e=0.1, λ_h=0.1 (#355 anchor)",12500,step_12500,../contrastive-forecasting-355/reports/2026-06-20_lejepa_sigreg/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_12k.pth,0.766024,0.044682
anchor_emb01,"λ_e=0.1, λ_h=0.1 (#355 anchor)",1400,best_loss,../contrastive-forecasting-355/reports/2026-06-20_lejepa_sigreg/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_best_loss.pth,0.389741,0.013567
anchor_emb01,"λ_e=0.1, λ_h=0.1 (#355 anchor)",12500,best_gap,../contrastive-forecasting-355/reports/2026-06-20_lejepa_sigreg/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_best_gap.pth,0.766024,0.044682
anchor_emb01,"λ_e=0.1, λ_h=0.1 (#355 anchor)",12500,final,../contrastive-forecasting-355/reports/2026-06-20_lejepa_sigreg/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_final.pth,0.766024,0.044682
anchor_emb01,"λ_e=0.1, λ_h=0.1 (#355 anchor)",,FINAL,../contrastive-forecasting-355/reports/2026-06-20_lejepa_sigreg/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_FINAL.pth,0.389741,0.013567
anchor_emb10,"λ_e=1.0, λ_h=0.1 (#359 anchor)",2500,step_2500,../contrastive-forecasting-359/reports/2026-06-22_lejepa_sigreg_emb10/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb10_2k.pth,0.414677,0.013951
anchor_emb10,"λ_e=1.0, λ_h=0.1 (#359 anchor)",5000,step_5000,../contrastive-forecasting-359/reports/2026-06-22_lejepa_sigreg_emb10/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb10_5k.pth,0.701719,0.014137
anchor_emb10,"λ_e=1.0, λ_h=0.1 (#359 anchor)",7500,step_7500,../contrastive-forecasting-359/reports/2026-06-22_lejepa_sigreg_emb10/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb10_7k.pth,0.732689,0.018433
anchor_emb10,"λ_e=1.0, λ_h=0.1 (#359 anchor)",10000,step_10000,../contrastive-forecasting-359/reports/2026-06-22_lejepa_sigreg_emb10/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb10_10k.pth,0.742733,0.028147
anchor_emb10,"λ_e=1.0, λ_h=0.1 (#359 anchor)",12500,step_12500,../contrastive-forecasting-359/reports/2026-06-22_lejepa_sigreg_emb10/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb10_12k.pth,0.751934,0.035038
anchor_emb10,"λ_e=1.0, λ_h=0.1 (#359 anchor)",1400,best_loss,../contrastive-forecasting-359/reports/2026-06-22_lejepa_sigreg_emb10/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb10_best_loss.pth,0.353477,0.013278
anchor_emb10,"λ_e=1.0, λ_h=0.1 (#359 anchor)",12500,best_gap,../contrastive-forecasting-359/reports/2026-06-22_lejepa_sigreg_emb10/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb10_best_gap.pth,0.751934,0.035038
anchor_emb10,"λ_e=1.0, λ_h=0.1 (#359 anchor)",12500,final,../contrastive-forecasting-359/reports/2026-06-22_lejepa_sigreg_emb10/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb10_final.pth,0.751934,0.035038
anchor_emb10,"λ_e=1.0, λ_h=0.1 (#359 anchor)",,FINAL,../contrastive-forecasting-359/reports/2026-06-22_lejepa_sigreg_emb10/runs/bb_allt08_xftrip_nobn_enc3_emateach_sigreg_qk_aon_b512_cpc_emb10_FINAL.pth,0.353477,0.013278
