step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
14000,student_h,adjacent,13500,500,0.000744,0.000081,0.000663,0.982914
14000,student_h,vs_initial,0,14000,0.842978,0.680069,0.162910,0.029534
14000,teacher_h,adjacent,13500,500,0.000647,0.000072,0.000575,0.985652
14000,teacher_h,vs_initial,0,14000,0.842921,0.680055,0.162866,0.030325
14500,student_h,adjacent,14000,500,0.000642,0.000079,0.000563,0.982683
14500,student_h,vs_initial,0,14500,0.843945,0.680313,0.163632,0.034121
14500,teacher_h,adjacent,14000,500,0.000581,0.000077,0.000504,0.985261
14500,teacher_h,vs_initial,0,14500,0.843845,0.680313,0.163532,0.033615
15000,student_h,adjacent,14500,500,0.000592,0.000071,0.000520,0.978736
15000,student_h,vs_initial,0,15000,0.845305,0.680320,0.164985,0.034619
15000,teacher_h,adjacent,14500,500,0.000548,0.000064,0.000484,0.982902
15000,teacher_h,vs_initial,0,15000,0.845192,0.680339,0.164853,0.034272
15500,student_h,adjacent,15000,500,0.000541,0.000081,0.000460,0.979686
15500,student_h,vs_initial,0,15500,0.846680,0.680278,0.166402,0.034121
15500,teacher_h,adjacent,15000,500,0.000557,0.000072,0.000486,0.982604
15500,teacher_h,vs_initial,0,15500,0.846695,0.680368,0.166328,0.033031
16000,student_h,adjacent,15500,500,0.000599,0.000092,0.000507,0.969105
16000,student_h,vs_initial,0,16000,0.847940,0.680401,0.167539,0.037468
16000,teacher_h,adjacent,15500,500,0.000550,0.000087,0.000463,0.970087
16000,teacher_h,vs_initial,0,16000,0.847935,0.680407,0.167528,0.037354
16500,student_h,adjacent,16000,500,0.000672,0.000078,0.000594,0.969938
16500,student_h,vs_initial,0,16500,0.850510,0.680725,0.169785,0.034514
16500,teacher_h,adjacent,16000,500,0.000608,0.000075,0.000533,0.971887
16500,teacher_h,vs_initial,0,16500,0.850116,0.680759,0.169357,0.035249
17000,student_h,adjacent,16500,500,0.000563,0.000084,0.000479,0.970117
17000,student_h,vs_initial,0,17000,0.852816,0.680459,0.172357,0.035755
17000,teacher_h,adjacent,16500,500,0.000605,0.000075,0.000530,0.974065
17000,teacher_h,vs_initial,0,17000,0.852729,0.680480,0.172249,0.035979
17500,student_h,adjacent,17000,500,0.000406,0.000076,0.000330,0.970127
17500,student_h,vs_initial,0,17500,0.854869,0.680605,0.174264,0.036919
17500,teacher_h,adjacent,17000,500,0.000385,0.000072,0.000313,0.972439
17500,teacher_h,vs_initial,0,17500,0.855143,0.680568,0.174575,0.035831
18000,student_h,adjacent,17500,500,0.000562,0.000081,0.000482,0.971295
18000,student_h,vs_initial,0,18000,0.858087,0.680470,0.177617,0.034797
18000,teacher_h,adjacent,17500,500,0.000464,0.000079,0.000385,0.970561
18000,teacher_h,vs_initial,0,18000,0.857879,0.680460,0.177419,0.035055
18500,student_h,adjacent,18000,500,0.000559,0.000094,0.000465,0.963215
18500,student_h,vs_initial,0,18500,0.860924,0.680389,0.180536,0.034898
18500,teacher_h,adjacent,18000,500,0.000553,0.000082,0.000470,0.968229
18500,teacher_h,vs_initial,0,18500,0.860795,0.680454,0.180341,0.034996
19000,student_h,adjacent,18500,500,0.000475,0.000092,0.000383,0.959125
19000,student_h,vs_initial,0,19000,0.863348,0.680701,0.182648,0.035223
19000,teacher_h,adjacent,18500,500,0.000470,0.000076,0.000394,0.967923
19000,teacher_h,vs_initial,0,19000,0.863210,0.680599,0.182611,0.034062
19500,student_h,adjacent,19000,500,0.000512,0.000078,0.000434,0.963483
19500,student_h,vs_initial,0,19500,0.865097,0.680715,0.184382,0.033626
19500,teacher_h,adjacent,19000,500,0.000552,0.000076,0.000477,0.965032
19500,teacher_h,vs_initial,0,19500,0.865116,0.680668,0.184448,0.032910
20000,student_h,adjacent,19500,500,0.000660,0.000091,0.000569,0.958945
20000,student_h,vs_initial,0,20000,0.868607,0.680559,0.188048,0.033408
20000,teacher_h,adjacent,19500,500,0.000564,0.000086,0.000478,0.960112
20000,teacher_h,vs_initial,0,20000,0.868634,0.680569,0.188064,0.032917
20500,student_h,adjacent,20000,500,0.000459,0.000088,0.000371,0.963308
20500,student_h,vs_initial,0,20500,0.869581,0.680447,0.189135,0.036289
20500,teacher_h,adjacent,20000,500,0.000432,0.000082,0.000350,0.966469
20500,teacher_h,vs_initial,0,20500,0.869769,0.680384,0.189385,0.035343
21000,student_h,adjacent,20500,500,0.000460,0.000092,0.000368,0.955095
21000,student_h,vs_initial,0,21000,0.872104,0.680342,0.191762,0.036361
21000,teacher_h,adjacent,20500,500,0.000457,0.000093,0.000364,0.956256
21000,teacher_h,vs_initial,0,21000,0.872098,0.680364,0.191734,0.035960
21500,student_h,adjacent,21000,500,0.000485,0.000096,0.000389,0.952256
21500,student_h,vs_initial,0,21500,0.874158,0.680622,0.193537,0.034336
21500,teacher_h,adjacent,21000,500,0.000456,0.000085,0.000371,0.959209
21500,teacher_h,vs_initial,0,21500,0.874080,0.680582,0.193497,0.034399
22000,student_h,adjacent,21500,500,0.000491,0.000108,0.000383,0.952426
22000,student_h,vs_initial,0,22000,0.876271,0.680208,0.196063,0.038013
22000,teacher_h,adjacent,21500,500,0.000442,0.000096,0.000346,0.958941
22000,teacher_h,vs_initial,0,22000,0.876382,0.680293,0.196088,0.037637
22500,student_h,adjacent,22000,500,0.000634,0.000112,0.000522,0.945866
22500,student_h,vs_initial,0,22500,0.878760,0.680227,0.198534,0.035857
22500,teacher_h,adjacent,22000,500,0.000535,0.000102,0.000432,0.949846
22500,teacher_h,vs_initial,0,22500,0.879123,0.680347,0.198776,0.036017
23000,student_h,adjacent,22500,500,0.000617,0.000105,0.000512,0.944603
23000,student_h,vs_initial,0,23000,0.881088,0.680460,0.200628,0.033418
23000,teacher_h,adjacent,22500,500,0.000521,0.000088,0.000433,0.953350
23000,teacher_h,vs_initial,0,23000,0.881129,0.680418,0.200711,0.033493
23500,student_h,adjacent,23000,500,0.000663,0.000130,0.000534,0.939244
23500,student_h,vs_initial,0,23500,0.883626,0.680161,0.203465,0.031934
23500,teacher_h,adjacent,23000,500,0.000506,0.000117,0.000389,0.944810
23500,teacher_h,vs_initial,0,23500,0.883286,0.680220,0.203066,0.032544
24000,student_h,adjacent,23500,500,0.000509,0.000115,0.000394,0.943719
24000,student_h,vs_initial,0,24000,0.885215,0.680423,0.204792,0.031470
