cell,leg,step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
arm5_combab_alignT,leg_100k,60000,teacher_h,adjacent,40000,20000,1.011894,0.378585,0.633310,0.355025
arm5_combab_alignT,leg_100k,80000,student_h,adjacent,60000,20000,0.961597,0.407941,0.553656,0.267723
arm5_combab_alignT,leg_100k,80000,student_h,vs_initial,40000,40000,1.061022,0.377033,0.683989,0.252226
arm5_combab_alignT,leg_100k,80000,teacher_h,adjacent,60000,20000,0.940363,0.407097,0.533266,0.254599
arm5_combab_alignT,leg_100k,80000,teacher_h,vs_initial,40000,40000,1.070636,0.363211,0.707425,0.263719
arm5_combab_alignT,leg_100k,100000,student_h,adjacent,80000,20000,0.915364,0.372931,0.542433,0.269550
arm5_combab_alignT,leg_100k,100000,student_h,vs_initial,40000,60000,1.048407,0.387996,0.660411,0.314515
arm5_combab_alignT,leg_100k,100000,teacher_h,adjacent,80000,20000,0.908114,0.351794,0.556320,0.320480
arm5_combab_alignT,leg_100k,100000,teacher_h,vs_initial,40000,60000,1.051705,0.396613,0.655093,0.269869
arm5_combab_alignT,leg_200k,120000,student_h,adjacent,100000,20000,0.167716,0.097623,0.070092,0.825296
arm5_combab_alignT,leg_200k,120000,teacher_h,adjacent,100000,20000,0.000622,0.000478,0.000144,0.999056
arm5_combab_alignT,leg_200k,140000,student_h,adjacent,120000,20000,0.184395,0.097057,0.087338,0.847680
arm5_combab_alignT,leg_200k,140000,student_h,vs_initial,100000,40000,0.267173,0.122482,0.144691,0.800820
arm5_combab_alignT,leg_200k,140000,teacher_h,adjacent,120000,20000,0.000457,0.000391,0.000067,0.999511
arm5_combab_alignT,leg_200k,140000,teacher_h,vs_initial,100000,40000,0.000528,0.000404,0.000123,0.999395
arm5_combab_alignT,leg_200k,160000,student_h,adjacent,140000,20000,0.194580,0.102973,0.091608,0.820349
arm5_combab_alignT,leg_200k,160000,student_h,vs_initial,100000,60000,0.334232,0.140996,0.193236,0.769257
arm5_combab_alignT,leg_200k,160000,teacher_h,adjacent,140000,20000,0.000166,0.000131,0.000035,0.999814
arm5_combab_alignT,leg_200k,160000,teacher_h,vs_initial,100000,60000,0.000678,0.000571,0.000107,0.999161
arm5_combab_alignT,leg_200k,180000,student_h,adjacent,160000,20000,0.173048,0.088938,0.084110,0.865647
arm5_combab_alignT,leg_200k,180000,student_h,vs_initial,100000,80000,0.415998,0.169665,0.246333,0.704969
arm5_combab_alignT,leg_200k,180000,teacher_h,adjacent,160000,20000,0.001109,0.000971,0.000138,0.998474
arm5_combab_alignT,leg_200k,180000,teacher_h,vs_initial,100000,80000,0.000631,0.000483,0.000147,0.998774
arm5_combab_alignT,leg_200k,200000,student_h,adjacent,180000,20000,0.200257,0.098704,0.101553,0.827323
arm5_combab_alignT,leg_200k,200000,student_h,vs_initial,100000,100000,0.541116,0.232450,0.308666,0.499770
arm5_combab_alignT,leg_200k,200000,teacher_h,adjacent,180000,20000,0.000086,0.000068,0.000018,0.999885
arm5_combab_alignT,leg_200k,200000,teacher_h,vs_initial,100000,100000,0.000829,0.000668,0.000161,0.998335
arm6_v2_combab_alignS,leg_40k,20000,student_h,adjacent,0,20000,0.861285,0.339508,0.521777,0.356382
arm6_v2_combab_alignS,leg_40k,20000,teacher_h,adjacent,0,20000,0.855698,0.348384,0.507313,0.352955
arm6_v2_combab_alignS,leg_40k,40000,student_h,adjacent,20000,20000,0.624638,0.191928,0.432710,0.483576
arm6_v2_combab_alignS,leg_40k,40000,student_h,vs_initial,0,40000,1.044532,0.389278,0.655253,0.283260
arm6_v2_combab_alignS,leg_40k,40000,teacher_h,adjacent,20000,20000,0.619168,0.195706,0.423462,0.482271
arm6_v2_combab_alignS,leg_40k,40000,teacher_h,vs_initial,0,40000,1.033795,0.391951,0.641843,0.282029
arm6_v2_combab_alignS,leg_100k,60000,student_h,adjacent,40000,20000,0.452876,0.089548,0.363328,0.805539
arm6_v2_combab_alignS,leg_100k,60000,teacher_h,adjacent,40000,20000,0.454282,0.088905,0.365377,0.809530
arm6_v2_combab_alignS,leg_100k,80000,student_h,adjacent,60000,20000,0.342396,0.107897,0.234499,0.759608
arm6_v2_combab_alignS,leg_100k,80000,student_h,vs_initial,40000,40000,0.649481,0.129551,0.519930,0.764003
