arm,step,one_minus_ff
pred,595,0.115932
pred,596,0.118027
pred,597,0.121334
pred,598,0.115806
pred,599,0.117537
pred,600,0.115974
pred,601,0.117894
pred,602,0.117516
pred,603,0.124563
pred,604,0.117104
pred,605,0.120319
pred,606,0.117959
pred,607,0.115472
pred,608,0.113185
pred,609,0.119520
pred,610,0.122437
pred,611,0.111030
pred,612,0.113718
pred,613,0.113521
pred,614,0.115653
pred,615,0.114326
pred,616,0.114087
pred,617,0.115672
pred,618,0.119664
pred,619,0.119921
pred,620,0.113956
pred,621,0.115056
pred,622,0.113019
pred,623,0.112706
pred,624,0.114856
pred,625,0.113665
pred,626,0.108076
pred,627,0.112642
pred,628,0.112663
pred,629,0.117222
pred,630,0.113528
pred,631,0.113836
pred,632,0.113596
pred,633,0.111433
pred,634,0.114175
pred,635,0.111543
pred,636,0.113601
pred,637,0.115674
pred,638,0.112960
pred,639,0.110413
pred,640,0.112307
pred,641,0.116028
pred,642,0.116226
pred,643,0.121151
pred,644,0.109289
pred,645,0.111925
pred,646,0.110271
pred,647,0.110280
pred,648,0.112362
pred,649,0.114043
pred,650,0.110768
pred,651,0.115013
pred,652,0.113398
pred,653,0.110922
pred,654,0.112164
pred,655,0.115681
pred,656,0.112676
pred,657,0.116403
pred,658,0.113233
pred,659,0.113839
pred,660,0.115379
pred,661,0.108301
pred,662,0.110753
pred,663,0.108620
pred,664,0.111969
pred,665,0.109750
pred,666,0.108893
pred,667,0.110355
pred,668,0.113964
pred,669,0.110211
pred,670,0.108225
pred,671,0.107903
pred,672,0.111804
pred,673,0.109435
pred,674,0.114969
pred,675,0.108253
pred,676,0.107352
pred,677,0.109212
pred,678,0.110189
pred,679,0.108152
pred,680,0.107467
pred,681,0.111784
pred,682,0.108860
pred,683,0.110804
pred,684,0.110836
pred,685,0.109596
pred,686,0.109237
pred,687,0.109535
pred,688,0.109020
pred,689,0.118548
pred,690,0.113118
pred,691,0.109632
pred,692,0.112433
pred,693,0.109334
pred,694,0.107285
pred,695,0.106456
pred,696,0.109722
pred,697,0.106713
pred,698,0.111851
pred,699,0.112310
pred,700,0.111807
pred,701,0.108612
pred,702,0.112747
pred,703,0.111782
pred,704,0.111575
pred,705,0.108539
pred,706,0.107043
pred,707,0.109002
pred,708,0.107971
pred,709,0.106566
pred,710,0.110927
pred,711,0.106215
pred,712,0.108333
pred,713,0.108614
pred,714,0.108384
pred,715,0.107934
pred,716,0.107440
pred,717,0.109822
pred,718,0.108879
pred,719,0.110405
pred,720,0.106532
pred,721,0.110521
pred,722,0.105129
pred,723,0.105178
pred,724,0.105749
pred,725,0.104954
pred,726,0.108203
pred,727,0.109825
pred,728,0.109284
pred,729,0.108677
pred,730,0.108251
pred,731,0.107255
pred,732,0.106916
pred,733,0.105734
pred,734,0.108793
pred,735,0.106839
pred,736,0.109544
pred,737,0.106513
pred,738,0.112092
pred,739,0.104498
pred,740,0.105080
pred,741,0.102357
pred,742,0.104214
pred,743,0.104025
pred,744,0.104116
pred,745,0.098027
pred,746,0.105008
pred,747,0.104782
pred,748,0.108503
pred,749,0.107697
pred,750,0.106793
pred,751,0.109387
pred,752,0.106528
pred,753,0.108900
pred,754,0.107265
pred,755,0.110271
pred,756,0.103224
pred,757,0.103891
pred,758,0.107947
pred,759,0.103291
pred,760,0.109650
pred,761,0.105760
pred,762,0.106345
pred,763,0.105573
pred,764,0.103281
pred,765,0.109473
pred,766,0.108124
pred,767,0.100769
pred,768,0.103945
pred,769,0.105598
pred,770,0.102701
pred,771,0.105170
pred,772,0.105596
pred,773,0.103880
pred,774,0.105674
pred,775,0.106248
pred,776,0.105259
pred,777,0.103068
pred,778,0.103309
pred,779,0.104172
pred,780,0.107033
pred,781,0.107971
pred,782,0.107272
pred,783,0.106541
pred,784,0.104404
pred,785,0.105704
pred,786,0.104241
pred,787,0.103105
pred,788,0.102845
pred,789,0.103781
pred,790,0.102663
pred,791,0.107406
pred,792,0.105837
pred,793,0.106200
pred,794,0.103962
pred,795,0.102707
pred,796,0.101647
pred,797,0.101857
pred,798,0.100864
pred,799,0.101148
pred,800,0.101301
pred,801,0.102133
pred,802,0.106188
pred,803,0.102006
pred,804,0.102803
pred,805,0.104378
pred,806,0.103912
pred,807,0.104306
pred,808,0.100933
pred,809,0.100330
pred,810,0.101084
pred,811,0.099603
pred,812,0.101983
pred,813,0.104306
pred,814,0.104385
pred,815,0.103141
pred,816,0.102790
pred,817,0.101556
pred,818,0.101740
pred,819,0.100374
pred,820,0.097547
pred,821,0.102458
pred,822,0.104669
pred,823,0.103707
pred,824,0.108127
pred,825,0.103529
pred,826,0.105252
pred,827,0.099980
pred,828,0.101814
pred,829,0.100470
pred,830,0.101647
pred,831,0.098401
pred,832,0.100781
pred,833,0.102953
pred,834,0.105470
pred,835,0.102381
pred,836,0.100785
pred,837,0.102395
pred,838,0.101022
pred,839,0.100328
pred,840,0.099559
pred,841,0.099715
pred,842,0.101170
pred,843,0.103430
pred,844,0.102875
pred,845,0.099496
pred,846,0.100537
pred,847,0.103716
pred,848,0.102579
pred,849,0.101518
pred,850,0.103964
pred,851,0.100451
pred,852,0.105307
pred,853,0.099816
pred,854,0.105328
pred,855,0.097710
pred,856,0.100583
pred,857,0.098978
pred,858,0.094743
pred,859,0.100458
pred,860,0.102743
pred,861,0.103221
pred,862,0.101528
pred,863,0.101162
pred,864,0.106143
pred,865,0.101032
pred,866,0.099912
pred,867,0.098386
pred,868,0.101003
pred,869,0.098055
pred,870,0.098621
pred,871,0.099620
pred,872,0.096775
pred,873,0.098565
pred,874,0.095926
pred,875,0.100913
pred,876,0.103924
pred,877,0.101258
pred,878,0.096905
pred,879,0.098234
pred,880,0.101555
pred,881,0.100987
pred,882,0.098458
pred,883,0.105028
pred,884,0.099517
pred,885,0.103510
pred,886,0.102056
pred,887,0.101190
pred,888,0.100562
pred,889,0.096229
pred,890,0.097443
pred,891,0.101712
pred,892,0.097901
pred,893,0.101817
pred,894,0.099212
pred,895,0.099249
pred,896,0.104004
pred,897,0.099325
pred,898,0.101119
pred,899,0.101717
pred,900,0.097093
pred,901,0.095483
pred,902,0.097715
pred,903,0.098878
pred,904,0.099772
pred,905,0.099805
pred,906,0.099422
pred,907,0.100033
pred,908,0.098051
pred,909,0.099628
pred,910,0.098083
pred,911,0.097058
pred,912,0.097213
pred,913,0.098404
pred,914,0.097349
pred,915,0.093839
pred,916,0.096481
pred,917,0.097486
pred,918,0.098017
pred,919,0.098742
pred,920,0.095093
pred,921,0.099130
pred,922,0.096559
pred,923,0.098056
pred,924,0.097321
