stop,split,name,n,gm_rel_mase
A3_k0_bb100k_teacher,domain,Energy,32,1.433439
A3_k0_bb100k_teacher,domain,Healthcare,5,1.226134
A3_k0_bb100k_teacher,domain,Nature,15,0.869573
A3_k0_bb100k_teacher,domain,Sales,4,0.803405
A3_k0_bb100k_teacher,domain,Transport,15,1.044439
A3_k0_bb100k_teacher,domain,Web/CloudOps,20,1.275783
A4_k0_bb40k_student,all,all,97,1.160258
A4_k0_bb40k_student,term,long,21,1.399943
A4_k0_bb40k_student,term,medium,21,1.386896
A4_k0_bb40k_student,term,short,55,1.008855
A4_k0_bb40k_student,domain,Econ/Fin,6,1.424335
A4_k0_bb40k_student,domain,Energy,32,1.401345
A4_k0_bb40k_student,domain,Healthcare,5,1.118659
A4_k0_bb40k_student,domain,Nature,15,0.863007
A4_k0_bb40k_student,domain,Sales,4,0.783654
A4_k0_bb40k_student,domain,Transport,15,1.000071
A4_k0_bb40k_student,domain,Web/CloudOps,20,1.228857
A4_k0_bb100k_student,all,all,97,1.194540
A4_k0_bb100k_student,term,long,21,1.446769
A4_k0_bb100k_student,term,medium,21,1.451578
A4_k0_bb100k_student,term,short,55,1.030664
A4_k0_bb100k_student,domain,Econ/Fin,6,1.413541
A4_k0_bb100k_student,domain,Energy,32,1.480827
A4_k0_bb100k_student,domain,Healthcare,5,1.170588
A4_k0_bb100k_student,domain,Nature,15,0.865546
A4_k0_bb100k_student,domain,Sales,4,0.799953
A4_k0_bb100k_student,domain,Transport,15,1.020637
A4_k0_bb100k_student,domain,Web/CloudOps,20,1.256577
A4_k0_bb40k_teacher,all,all,97,1.154396
A4_k0_bb40k_teacher,term,long,21,1.384056
A4_k0_bb40k_teacher,term,medium,21,1.375829
A4_k0_bb40k_teacher,term,short,55,1.007325
A4_k0_bb40k_teacher,domain,Econ/Fin,6,1.441399
A4_k0_bb40k_teacher,domain,Energy,32,1.400086
A4_k0_bb40k_teacher,domain,Healthcare,5,1.110580
A4_k0_bb40k_teacher,domain,Nature,15,0.856119
A4_k0_bb40k_teacher,domain,Sales,4,0.775404
A4_k0_bb40k_teacher,domain,Transport,15,1.002646
A4_k0_bb40k_teacher,domain,Web/CloudOps,20,1.206101
A4_k0_bb100k_teacher,all,all,97,1.183726
A4_k0_bb100k_teacher,term,long,21,1.430175
A4_k0_bb100k_teacher,term,medium,21,1.440449
A4_k0_bb100k_teacher,term,short,55,1.021741
A4_k0_bb100k_teacher,domain,Econ/Fin,6,1.381399
A4_k0_bb100k_teacher,domain,Energy,32,1.459808
A4_k0_bb100k_teacher,domain,Healthcare,5,1.169113
A4_k0_bb100k_teacher,domain,Nature,15,0.863379
A4_k0_bb100k_teacher,domain,Sales,4,0.788478
A4_k0_bb100k_teacher,domain,Transport,15,1.023411
A4_k0_bb100k_teacher,domain,Web/CloudOps,20,1.242480
B1_k0_bb40k_student,all,all,97,1.202512
B1_k0_bb40k_student,term,long,21,1.474555
B1_k0_bb40k_student,term,medium,21,1.483521
B1_k0_bb40k_student,term,short,55,1.026710
B1_k0_bb40k_student,domain,Econ/Fin,6,1.466384
B1_k0_bb40k_student,domain,Energy,32,1.470530
B1_k0_bb40k_student,domain,Healthcare,5,1.103060
B1_k0_bb40k_student,domain,Nature,15,0.883557
B1_k0_bb40k_student,domain,Sales,4,0.771569
B1_k0_bb40k_student,domain,Transport,15,1.040275
B1_k0_bb40k_student,domain,Web/CloudOps,20,1.288069
B1_k0_bb100k_student,all,all,97,1.161634
B1_k0_bb100k_student,term,long,21,1.395074
B1_k0_bb100k_student,term,medium,21,1.405124
B1_k0_bb100k_student,term,short,55,1.007277
B1_k0_bb100k_student,domain,Econ/Fin,6,1.375717
B1_k0_bb100k_student,domain,Energy,32,1.431290
B1_k0_bb100k_student,domain,Healthcare,5,1.012126
B1_k0_bb100k_student,domain,Nature,15,0.858874
B1_k0_bb100k_student,domain,Sales,4,0.781870
B1_k0_bb100k_student,domain,Transport,15,1.033024
B1_k0_bb100k_student,domain,Web/CloudOps,20,1.213105
B1_k0_bb200k_student,all,all,97,1.165190
B1_k0_bb200k_student,term,long,21,1.372467
B1_k0_bb200k_student,term,medium,21,1.396558
B1_k0_bb200k_student,term,short,55,1.021440
B1_k0_bb200k_student,domain,Econ/Fin,6,1.386592
B1_k0_bb200k_student,domain,Energy,32,1.420375
B1_k0_bb200k_student,domain,Healthcare,5,1.143995
B1_k0_bb200k_student,domain,Nature,15,0.857185
B1_k0_bb200k_student,domain,Sales,4,0.785310
B1_k0_bb200k_student,domain,Transport,15,1.022590
B1_k0_bb200k_student,domain,Web/CloudOps,20,1.215902
B2_k0_bb40k_student,all,all,97,1.276456
B2_k0_bb40k_student,term,long,21,1.370360
