stop,split,name,n,gm_rel_mase
A3_k3_bb200k_student_s20260723,term,short,55,1.378219
A3_k3_bb200k_student_s20260723,term,medium,21,1.487216
A3_k3_bb200k_student_s20260723,term,long,21,1.418035
A3_k3_bb200k_student_s20260723,term,medium_long,42,1.452214
A3_k3_bb200k_student_s20260723,domain,Econ/Fin,6,2.803687
A3_k3_bb200k_student_s20260723,domain,Energy,32,1.629823
A3_k3_bb200k_student_s20260723,domain,Healthcare,5,1.583510
A3_k3_bb200k_student_s20260723,domain,Nature,15,1.051771
A3_k3_bb200k_student_s20260723,domain,Sales,4,0.858974
A3_k3_bb200k_student_s20260723,domain,Transport,15,1.073829
A3_k3_bb200k_student_s20260723,domain,Web/CloudOps,20,1.490399
A3_k3_bb200k_teacher,all,all,97,1.291332
A3_k3_bb200k_teacher,term,short,55,1.218689
A3_k3_bb200k_teacher,term,medium,21,1.418710
A3_k3_bb200k_teacher,term,long,21,1.367850
A3_k3_bb200k_teacher,term,medium_long,42,1.393048
A3_k3_bb200k_teacher,domain,Econ/Fin,6,1.766408
A3_k3_bb200k_teacher,domain,Energy,32,1.532097
A3_k3_bb200k_teacher,domain,Healthcare,5,1.412612
A3_k3_bb200k_teacher,domain,Nature,15,0.931031
A3_k3_bb200k_teacher,domain,Sales,4,0.860955
A3_k3_bb200k_teacher,domain,Transport,15,1.060064
A3_k3_bb200k_teacher,domain,Web/CloudOps,20,1.405156
A3_k3_bb40k_student,all,all,97,1.361791
A3_k3_bb40k_student,term,short,55,1.302728
A3_k3_bb40k_student,term,medium,21,1.472799
A3_k3_bb40k_student,term,long,21,1.414201
A3_k3_bb40k_student,term,medium_long,42,1.443203
A3_k3_bb40k_student,domain,Econ/Fin,6,1.948334
A3_k3_bb40k_student,domain,Energy,32,1.655495
A3_k3_bb40k_student,domain,Healthcare,5,1.386437
A3_k3_bb40k_student,domain,Nature,15,1.020540
A3_k3_bb40k_student,domain,Sales,4,0.855899
A3_k3_bb40k_student,domain,Transport,15,1.063523
A3_k3_bb40k_student,domain,Web/CloudOps,20,1.460865
A3_k3_bb40k_teacher,all,all,97,1.352107
A3_k3_bb40k_teacher,term,short,55,1.286770
A3_k3_bb40k_teacher,term,medium,21,1.473640
A3_k3_bb40k_teacher,term,long,21,1.412430
A3_k3_bb40k_teacher,term,medium_long,42,1.442710
A3_k3_bb40k_teacher,domain,Econ/Fin,6,1.950883
A3_k3_bb40k_teacher,domain,Energy,32,1.642064
A3_k3_bb40k_teacher,domain,Healthcare,5,1.370002
A3_k3_bb40k_teacher,domain,Nature,15,1.003139
A3_k3_bb40k_teacher,domain,Sales,4,0.846065
A3_k3_bb40k_teacher,domain,Transport,15,1.061615
A3_k3_bb40k_teacher,domain,Web/CloudOps,20,1.457312
A4_k3_bb100k_student,all,all,97,1.080058
A4_k3_bb100k_student,term,short,55,0.963784
A4_k3_bb100k_student,term,medium,21,1.238924
A4_k3_bb100k_student,term,long,21,1.268837
A4_k3_bb100k_student,term,medium_long,42,1.253791
A4_k3_bb100k_student,domain,Econ/Fin,6,1.150277
A4_k3_bb100k_student,domain,Energy,32,1.279453
A4_k3_bb100k_student,domain,Healthcare,5,1.112589
A4_k3_bb100k_student,domain,Nature,15,0.821673
A4_k3_bb100k_student,domain,Sales,4,0.796840
A4_k3_bb100k_student,domain,Transport,15,0.900822
A4_k3_bb100k_student,domain,Web/CloudOps,20,1.199159
A4_k3_bb100k_teacher,all,all,97,1.087362
A4_k3_bb100k_teacher,term,short,55,0.957918
A4_k3_bb100k_teacher,term,medium,21,1.264343
A4_k3_bb100k_teacher,term,long,21,1.303319
A4_k3_bb100k_teacher,term,medium_long,42,1.283683
A4_k3_bb100k_teacher,domain,Econ/Fin,6,1.134071
A4_k3_bb100k_teacher,domain,Energy,32,1.295719
A4_k3_bb100k_teacher,domain,Healthcare,5,1.079005
A4_k3_bb100k_teacher,domain,Nature,15,0.814948
A4_k3_bb100k_teacher,domain,Sales,4,0.790320
A4_k3_bb100k_teacher,domain,Transport,15,0.908030
A4_k3_bb100k_teacher,domain,Web/CloudOps,20,1.231020
A4_k3_bb200k_student,all,all,97,1.065963
A4_k3_bb200k_student,term,short,55,0.966051
A4_k3_bb200k_student,term,medium,21,1.196232
A4_k3_bb200k_student,term,long,21,1.229174
A4_k3_bb200k_student,term,medium_long,42,1.212591
A4_k3_bb200k_student,domain,Econ/Fin,6,1.143213
A4_k3_bb200k_student,domain,Energy,32,1.264907
A4_k3_bb200k_student,domain,Healthcare,5,1.103552
A4_k3_bb200k_student,domain,Nature,15,0.812622
A4_k3_bb200k_student,domain,Sales,4,0.782934
A4_k3_bb200k_student,domain,Transport,15,0.879669
A4_k3_bb200k_student,domain,Web/CloudOps,20,1.185002
A4_k3_bb200k_teacher,all,all,97,1.082774
A4_k3_bb200k_teacher,term,short,55,0.972909
A4_k3_bb200k_teacher,term,medium,21,1.231702
A4_k3_bb200k_teacher,term,long,21,1.259698
A4_k3_bb200k_teacher,term,medium_long,42,1.245621
A4_k3_bb200k_teacher,domain,Econ/Fin,6,1.175885
A4_k3_bb200k_teacher,domain,Energy,32,1.262309
A4_k3_bb200k_teacher,domain,Healthcare,5,1.119521
A4_k3_bb200k_teacher,domain,Nature,15,0.819178
A4_k3_bb200k_teacher,domain,Sales,4,0.784304
A4_k3_bb200k_teacher,domain,Transport,15,0.885812
