A,B,why,head,ckpt,gm_A,gm_B,delta,ci_lo,ci_hi,n,verdict
a2_sg_enc3_nobn,a4_sg_enc6_bn,enc6+bn vs enc3+nobn WITH sg [hypothesis],6L,last,1.1629340235718684,2.2007984936617206,1.0378644700898523,0.7338277599252645,1.437260682279664,97,B worse (reliable)
a1_bn_enc6,a2_sg_enc3_nobn,arm2 vs arm1 (completes grid),2L,best,1.1860846722795841,1.1767794644053335,-0.009305207874250598,-0.0347652949072943,0.017349973881368053,97,ns (CI straddles 0)
a1_bn_enc6,a2_sg_enc3_nobn,arm2 vs arm1 (completes grid),2L,last,1.1874496137210193,1.180075049027856,-0.007374564693163332,-0.03259569214294955,0.018911634682257095,97,ns (CI straddles 0)
a1_bn_enc6,a2_sg_enc3_nobn,arm2 vs arm1 (completes grid),6L,best,1.1849447576820347,1.1586636106803785,-0.02628114700165618,-0.0509436622375834,-0.0017122560818612076,97,B BETTER (reliable)
a1_bn_enc6,a2_sg_enc3_nobn,arm2 vs arm1 (completes grid),6L,last,1.1898136628470222,1.1629340235718684,-0.0268796392751538,-0.05165844298288724,-0.004324550185463627,97,B BETTER (reliable)
a1_bn_enc6,a3_sg_enc6_nobn,arm3 vs arm1 (completes grid),2L,best,1.1860846722795841,1.1800923396531624,-0.005992332626421737,-0.021911226339892842,0.010524617447242202,97,ns (CI straddles 0)
a1_bn_enc6,a3_sg_enc6_nobn,arm3 vs arm1 (completes grid),2L,last,1.1874496137210193,1.2134387976249226,0.025989183903903257,0.0022777107401841246,0.05180313672392911,97,B worse (reliable)
a1_bn_enc6,a3_sg_enc6_nobn,arm3 vs arm1 (completes grid),6L,best,1.1849447576820347,1.160596443446397,-0.02434831423563777,-0.04057914169414634,-0.008615511208148297,97,B BETTER (reliable)
a1_bn_enc6,a3_sg_enc6_nobn,arm3 vs arm1 (completes grid),6L,last,1.1898136628470222,1.1932610880596872,0.003447425212665056,-0.018524026566612894,0.026765900547635946,97,ns (CI straddles 0)
a3_sg_enc6_nobn,a4_sg_enc6_bn,bottleneck on/off at enc6 WITH sg (completes grid),2L,best,1.1800923396531624,1.1996625979638198,0.019570258310657396,-0.0024161251360816927,0.03997497431747088,97,ns (CI straddles 0)
a3_sg_enc6_nobn,a4_sg_enc6_bn,bottleneck on/off at enc6 WITH sg (completes grid),2L,last,1.2134387976249226,2.26518459961727,1.0517458019923476,0.7371173771567587,1.4612858595251725,97,B worse (reliable)
a3_sg_enc6_nobn,a4_sg_enc6_bn,bottleneck on/off at enc6 WITH sg (completes grid),6L,best,1.160596443446397,1.1830211840778482,0.02242474063145128,0.0023931893500153123,0.03968867914052465,97,B worse (reliable)
a3_sg_enc6_nobn,a4_sg_enc6_bn,bottleneck on/off at enc6 WITH sg (completes grid),6L,last,1.1932610880596872,2.2007984936617206,1.0075374056020334,0.6994960742947474,1.4101555241457353,97,B worse (reliable)
c_nobn_enc3,c_nobn_enc6,capacity enc3->enc6 (nobn) WITHOUT sg [#336 sign],2L,best,1.2198627909753665,1.2737848558597578,0.05392206488439122,0.027989126599878844,0.08120817437700545,97,B worse (reliable)
c_nobn_enc3,c_nobn_enc6,capacity enc3->enc6 (nobn) WITHOUT sg [#336 sign],2L,last,1.180605122676932,1.3131516077713075,0.1325464850943754,0.0971404711438999,0.16783378821658546,97,B worse (reliable)
c_nobn_enc3,c_nobn_enc6,capacity enc3->enc6 (nobn) WITHOUT sg [#336 sign],6L,best,1.2108113310003146,1.225269420471126,0.014458089470811508,-0.010659332858576231,0.04182954789195259,97,ns (CI straddles 0)
c_nobn_enc3,c_nobn_enc6,capacity enc3->enc6 (nobn) WITHOUT sg [#336 sign],6L,last,1.1695196591380774,1.2604700409534642,0.09095038181538673,0.05355600303335151,0.12804057520821366,97,B worse (reliable)
c_nobn_enc3,a2_sg_enc3_nobn,cross-check: #339 published contrast,2L,best,1.2198627909753665,1.1767794644053335,-0.043083326570033,-0.07138181661518006,-0.016010416268040117,97,B BETTER (reliable)
c_nobn_enc3,a2_sg_enc3_nobn,cross-check: #339 published contrast,2L,last,1.180605122676932,1.180075049027856,-0.0005300736490760904,-0.02379599227104867,0.02319823887814576,97,ns (CI straddles 0)
c_nobn_enc3,a2_sg_enc3_nobn,cross-check: #339 published contrast,6L,best,1.2108113310003146,1.1586636106803785,-0.052147720319936086,-0.07891712872957446,-0.02504332001826226,97,B BETTER (reliable)
c_nobn_enc3,a2_sg_enc3_nobn,cross-check: #339 published contrast,6L,last,1.1695196591380774,1.1629340235718684,-0.006585635566209058,-0.028278950060294905,0.015444154419443912,97,ns (CI straddles 0)
