arm_slug,label,step_later,drift_h,drift_e
arm6_v2_tr1,"arm 6 v2 tr1  (L_align→teacher + L_rep_moco, all τ=1.0)",40000,1.048070,0.433678
arm6_v2_tr1,"arm 6 v2 tr1  (L_align→teacher + L_rep_moco, all τ=1.0)",50000,1.098560,0.407852
arm6_v2_tr1,"arm 6 v2 tr1  (L_align→teacher + L_rep_moco, all τ=1.0)",75000,1.020654,0.621058
arm6_v2_tr1,"arm 6 v2 tr1  (L_align→teacher + L_rep_moco, all τ=1.0)",100000,0.989810,0.530440
bimoco_tr1,"bimoco tr1  (L_pred_moco + L_rep_moco, all τ=1.0)",10000,0.842976,0.436711
bimoco_tr1,"bimoco tr1  (L_pred_moco + L_rep_moco, all τ=1.0)",20000,0.806901,0.711093
bimoco_tr1,"bimoco tr1  (L_pred_moco + L_rep_moco, all τ=1.0)",30000,1.026353,0.890023
bimoco_tr1,"bimoco tr1  (L_pred_moco + L_rep_moco, all τ=1.0)",40000,0.949967,0.813816
bimoco_tr1,"bimoco tr1  (L_pred_moco + L_rep_moco, all τ=1.0)",50000,0.734299,0.589332
bimoco_tr1,"bimoco tr1  (L_pred_moco + L_rep_moco, all τ=1.0)",75000,0.950817,0.854440
bimoco_tr1,"bimoco tr1  (L_pred_moco + L_rep_moco, all τ=1.0)",100000,0.906463,0.658318
arm1_nse,"arm 1 nse  (L_pred + L_rep, sigreg_e=0)",10000,0.909588,0.587045
arm1_nse,"arm 1 nse  (L_pred + L_rep, sigreg_e=0)",20000,0.877050,0.674924
arm1_nse,"arm 1 nse  (L_pred + L_rep, sigreg_e=0)",30000,0.815952,0.621899
arm1_nse,"arm 1 nse  (L_pred + L_rep, sigreg_e=0)",40000,0.847217,0.636486
arm1_nse,"arm 1 nse  (L_pred + L_rep, sigreg_e=0)",50000,0.842295,0.673390
arm1_nse,"arm 1 nse  (L_pred + L_rep, sigreg_e=0)",75000,0.956074,0.912308
arm1_nse,"arm 1 nse  (L_pred + L_rep, sigreg_e=0)",100000,0.938770,0.860314
arm1_nse,"arm 1 nse  (L_pred + L_rep, sigreg_e=0)",125000,0.944033,0.853673
arm1_nse,"arm 1 nse  (L_pred + L_rep, sigreg_e=0)",150000,0.943727,0.899441
arm1_nse,"arm 1 nse  (L_pred + L_rep, sigreg_e=0)",175000,0.930610,0.843212
arm1_nse,"arm 1 nse  (L_pred + L_rep, sigreg_e=0)",200000,0.886819,0.723909
arm3_nse,"arm 3 nse  (L_pred_moco + L_rep, sigreg_e=0)",10000,0.914846,0.581122
arm3_nse,"arm 3 nse  (L_pred_moco + L_rep, sigreg_e=0)",20000,0.893287,0.652016
arm3_nse,"arm 3 nse  (L_pred_moco + L_rep, sigreg_e=0)",30000,0.834829,0.605339
arm3_nse,"arm 3 nse  (L_pred_moco + L_rep, sigreg_e=0)",40000,0.782719,0.515194
arm3_nse,"arm 3 nse  (L_pred_moco + L_rep, sigreg_e=0)",50000,0.780929,0.530700
arm3_nse,"arm 3 nse  (L_pred_moco + L_rep, sigreg_e=0)",75000,0.929608,0.803309
arm3_nse,"arm 3 nse  (L_pred_moco + L_rep, sigreg_e=0)",100000,0.894927,0.661132
arm4_nse,"arm 4 nse  (pooled + MoCo, sigreg_e=0)",10000,0.875808,0.521302
arm4_nse,"arm 4 nse  (pooled + MoCo, sigreg_e=0)",20000,0.896419,0.747433
arm4_nse,"arm 4 nse  (pooled + MoCo, sigreg_e=0)",30000,0.891815,0.566509
arm4_nse,"arm 4 nse  (pooled + MoCo, sigreg_e=0)",40000,0.853186,0.537639
arm4_nse,"arm 4 nse  (pooled + MoCo, sigreg_e=0)",50000,0.768588,0.460946
arm4_nse,"arm 4 nse  (pooled + MoCo, sigreg_e=0)",75000,0.878758,0.597964
arm4_nse,"arm 4 nse  (pooled + MoCo, sigreg_e=0)",100000,0.867413,0.567746
arm5_nse,"arm 5 nse  (L_align→teacher + L_rep, sigreg_e=0)",10000,0.944286,0.565882
arm5_nse,"arm 5 nse  (L_align→teacher + L_rep, sigreg_e=0)",20000,0.925929,0.699661
arm5_nse,"arm 5 nse  (L_align→teacher + L_rep, sigreg_e=0)",30000,0.907832,0.629093
arm5_nse,"arm 5 nse  (L_align→teacher + L_rep, sigreg_e=0)",40000,0.919918,0.684936
arm5_nse,"arm 5 nse  (L_align→teacher + L_rep, sigreg_e=0)",50000,0.862722,0.584483
arm5_nse,"arm 5 nse  (L_align→teacher + L_rep, sigreg_e=0)",75000,0.953838,0.779913
arm5_nse,"arm 5 nse  (L_align→teacher + L_rep, sigreg_e=0)",100000,0.968467,0.866749
arm5_nse,"arm 5 nse  (L_align→teacher + L_rep, sigreg_e=0)",125000,0.942473,0.745134
arm5_nse,"arm 5 nse  (L_align→teacher + L_rep, sigreg_e=0)",150000,0.936982,0.704399
arm5_nse,"arm 5 nse  (L_align→teacher + L_rep, sigreg_e=0)",175000,0.969471,0.759111
arm5_nse,"arm 5 nse  (L_align→teacher + L_rep, sigreg_e=0)",200000,0.951059,0.630370
arm6_v2_nse,"arm 6 v2 nse  (L_align→teacher + L_rep_moco, sigreg_e=0)",10000,0.768916,0.610494
arm6_v2_nse,"arm 6 v2 nse  (L_align→teacher + L_rep_moco, sigreg_e=0)",20000,0.648424,0.429850
arm6_v2_nse,"arm 6 v2 nse  (L_align→teacher + L_rep_moco, sigreg_e=0)",30000,0.602930,0.412848
arm6_v2_nse,"arm 6 v2 nse  (L_align→teacher + L_rep_moco, sigreg_e=0)",40000,0.461472,0.296407
arm6_v2_nse,"arm 6 v2 nse  (L_align→teacher + L_rep_moco, sigreg_e=0)",50000,0.599127,0.326874
arm6_v2_nse,"arm 6 v2 nse  (L_align→teacher + L_rep_moco, sigreg_e=0)",75000,0.741269,0.562872
arm6_v2_nse,"arm 6 v2 nse  (L_align→teacher + L_rep_moco, sigreg_e=0)",100000,0.771252,0.554543
bimoco_nse,"bimoco nse  (L_pred_moco + L_rep_moco, sigreg_e=0)",10000,0.719018,0.603637
bimoco_nse,"bimoco nse  (L_pred_moco + L_rep_moco, sigreg_e=0)",20000,0.684620,0.520154
bimoco_nse,"bimoco nse  (L_pred_moco + L_rep_moco, sigreg_e=0)",30000,0.746128,0.608513
bimoco_nse,"bimoco nse  (L_pred_moco + L_rep_moco, sigreg_e=0)",40000,0.704346,0.529826
bimoco_nse,"bimoco nse  (L_pred_moco + L_rep_moco, sigreg_e=0)",50000,0.659429,0.429610
bimoco_nse,"bimoco nse  (L_pred_moco + L_rep_moco, sigreg_e=0)",75000,0.758532,0.564737
bimoco_nse,"bimoco nse  (L_pred_moco + L_rep_moco, sigreg_e=0)",100000,0.726279,0.544450
arm1_ncpc,"arm 1 ncpc  (L_pred + L_rep, cpc=0)",10000,0.890050,0.622804
arm1_ncpc,"arm 1 ncpc  (L_pred + L_rep, cpc=0)",20000,1.008831,0.489426
arm1_ncpc,"arm 1 ncpc  (L_pred + L_rep, cpc=0)",30000,0.932346,0.398354
arm1_ncpc,"arm 1 ncpc  (L_pred + L_rep, cpc=0)",40000,0.900936,0.168631
arm1_ncpc,"arm 1 ncpc  (L_pred + L_rep, cpc=0)",50000,0.962022,0.225126
arm1_ncpc,"arm 1 ncpc  (L_pred + L_rep, cpc=0)",75000,1.043729,0.462169
arm1_ncpc,"arm 1 ncpc  (L_pred + L_rep, cpc=0)",100000,0.942777,0.244704
arm1_ncpc,"arm 1 ncpc  (L_pred + L_rep, cpc=0)",125000,0.966157,0.266690
arm1_ncpc,"arm 1 ncpc  (L_pred + L_rep, cpc=0)",150000,0.974954,0.256102
arm1_ncpc,"arm 1 ncpc  (L_pred + L_rep, cpc=0)",175000,0.989396,0.423208
arm1_ncpc,"arm 1 ncpc  (L_pred + L_rep, cpc=0)",200000,0.979901,0.259159
arm3_ncpc,"arm 3 ncpc  (L_pred_moco + L_rep, cpc=0)",10000,0.945406,0.813655
arm3_ncpc,"arm 3 ncpc  (L_pred_moco + L_rep, cpc=0)",20000,1.016013,0.672203
arm3_ncpc,"arm 3 ncpc  (L_pred_moco + L_rep, cpc=0)",30000,0.972623,0.530422
arm3_ncpc,"arm 3 ncpc  (L_pred_moco + L_rep, cpc=0)",40000,0.852867,0.420770
arm3_ncpc,"arm 3 ncpc  (L_pred_moco + L_rep, cpc=0)",50000,0.995143,0.302648
arm3_ncpc,"arm 3 ncpc  (L_pred_moco + L_rep, cpc=0)",75000,0.981528,0.458456
arm3_ncpc,"arm 3 ncpc  (L_pred_moco + L_rep, cpc=0)",100000,0.984527,0.320013
arm4_ncpc,"arm 4 ncpc  (pooled + MoCo, cpc=0)",10000,1.028573,0.684123
arm4_ncpc,"arm 4 ncpc  (pooled + MoCo, cpc=0)",20000,0.863247,0.456595
arm4_ncpc,"arm 4 ncpc  (pooled + MoCo, cpc=0)",30000,0.972800,0.571555
arm4_ncpc,"arm 4 ncpc  (pooled + MoCo, cpc=0)",40000,0.962975,0.320018
arm4_ncpc,"arm 4 ncpc  (pooled + MoCo, cpc=0)",50000,1.004081,0.312904
arm4_ncpc,"arm 4 ncpc  (pooled + MoCo, cpc=0)",75000,0.943817,0.895854
arm4_ncpc,"arm 4 ncpc  (pooled + MoCo, cpc=0)",100000,0.967411,0.516516
arm5_ncpc,"arm 5 ncpc  (L_align→teacher + L_rep, cpc=0)",10000,0.874998,0.649713
arm5_ncpc,"arm 5 ncpc  (L_align→teacher + L_rep, cpc=0)",20000,0.838576,0.742575
arm5_ncpc,"arm 5 ncpc  (L_align→teacher + L_rep, cpc=0)",30000,0.871011,0.655841
arm5_ncpc,"arm 5 ncpc  (L_align→teacher + L_rep, cpc=0)",40000,0.907442,0.440164
arm5_ncpc,"arm 5 ncpc  (L_align→teacher + L_rep, cpc=0)",50000,0.923715,0.693149
arm5_ncpc,"arm 5 ncpc  (L_align→teacher + L_rep, cpc=0)",75000,0.901301,0.830539
arm5_ncpc,"arm 5 ncpc  (L_align→teacher + L_rep, cpc=0)",100000,0.897910,0.610741
arm6_v2_ncpc,"arm 6 v2 ncpc  (L_align→teacher + L_rep_moco, cpc=0)",10000,0.622337,0.501365
arm6_v2_ncpc,"arm 6 v2 ncpc  (L_align→teacher + L_rep_moco, cpc=0)",20000,0.698540,0.641291
arm6_v2_ncpc,"arm 6 v2 ncpc  (L_align→teacher + L_rep_moco, cpc=0)",30000,0.611853,0.559583
arm6_v2_ncpc,"arm 6 v2 ncpc  (L_align→teacher + L_rep_moco, cpc=0)",40000,0.575762,0.519111
arm6_v2_ncpc,"arm 6 v2 ncpc  (L_align→teacher + L_rep_moco, cpc=0)",50000,0.776957,0.735351
arm6_v2_ncpc,"arm 6 v2 ncpc  (L_align→teacher + L_rep_moco, cpc=0)",75000,0.779607,0.756478
arm6_v2_ncpc,"arm 6 v2 ncpc  (L_align→teacher + L_rep_moco, cpc=0)",100000,0.763521,0.754991
arm6_v2_ncpc,"arm 6 v2 ncpc  (L_align→teacher + L_rep_moco, cpc=0)",125000,0.758936,0.708164
