run,window,n_rows,loss_first,loss_last,loss_min,delta,qk_max,qk_mean
bb_small_arm5_ncpc_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,100k-200k,500,14.2663,14.2547,14.2172,-0.0116,13.49,7.60
bb_small_arm5_ncpc_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,0k-40k,697,15.6704,14.2724,14.0767,-1.3980,13.01,5.35
bb_small_arm5_ncpc_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,40k-100k,300,14.2654,14.3235,14.2072,+0.0582,15.37,8.29
bb_small_arm5_nse_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,20.0549,13.9533,13.9421,-6.1016,29.26,13.20
bb_small_arm5_nse_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,13.9593,13.9738,13.9439,+0.0144,30.58,13.93
bb_small_arm5_nse_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,100k-200k,500,13.9673,13.9472,13.9294,-0.0201,31.96,13.92
bb_small_arm5_nse_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,0k-40k,697,19.8002,14.1113,14.0639,-5.6888,18.65,7.63
bb_small_arm5_nse_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,40k-100k,300,14.1414,13.9531,13.9124,-0.1883,220.60,14.28
bb_small_arm5_nse_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,100k-200k,500,13.9522,13.9691,13.9146,+0.0169,259.94,35.09
bb_small_arm5_tr1_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,17.4474,13.0695,12.9542,-4.3779,30.97,11.83
bb_small_arm5_tr1_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,13.0751,13.0612,13.0285,-0.0138,28.33,12.00
bb_small_arm5_tr1_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,0k-40k,697,17.2431,12.7665,12.7329,-4.4767,147.74,14.33
bb_small_arm5_tr1_lalign_lrep_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,40k-100k,300,12.7740,12.8061,12.7465,+0.0320,234.74,28.68
bb_small_arm6_v2_combab_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,13.0278,12.5719,12.2666,-0.4559,13.50,6.53
bb_small_arm6_v2_combab_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,12.5865,12.6410,12.4218,+0.0544,24.12,9.58
bb_small_arm6_v2_combab_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,100k-200k,500,12.5501,12.5952,12.3527,+0.0452,77.34,19.28
bb_small_arm6_v2_combab_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,0k-40k,697,12.7678,11.7536,11.7264,-1.0141,147.96,16.73
bb_small_arm6_v2_combab_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,40k-100k,300,11.7366,11.7728,11.7055,+0.0362,163.84,27.05
bb_small_arm6_v2_combab_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,100k-200k,500,11.7957,12.1728,11.6994,+0.3771,172.27,24.56
bb_small_arm6_v2_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,798,14.1317,5.1218,4.9306,-9.0099,12.72,6.78
bb_small_arm6_v2_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,5.1374,5.0717,4.8822,-0.0657,12.37,7.27
bb_small_arm6_v2_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,0k-40k,697,12.9804,4.9212,4.7050,-8.0591,12.75,6.73
bb_small_arm6_v2_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,40k-100k,300,4.9752,4.9232,4.6983,-0.0520,11.02,7.65
bb_small_arm6_v2_ncpc_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,9.1876,5.2751,4.9050,-3.9125,22.25,6.36
bb_small_arm6_v2_ncpc_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,5.1738,5.1513,4.8682,-0.0224,196.98,16.66
bb_small_arm6_v2_ncpc_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,100k-200k,500,5.1270,5.1834,4.8912,+0.0564,256.76,31.60
bb_small_arm6_v2_ncpc_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,0k-40k,697,9.0089,5.2042,4.9326,-3.8047,29.45,5.16
bb_small_arm6_v2_ncpc_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,40k-100k,300,5.5785,5.5713,4.9926,-0.0072,38.68,4.59
bb_small_arm6_v2_ncpc_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,100k-200k,500,5.4163,5.2350,4.8914,-0.1813,19.08,4.08
bb_small_arm6_v2_nse_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,13.0739,4.9965,4.7623,-8.0774,12.32,6.90
bb_small_arm6_v2_nse_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,5.0323,4.9338,4.7428,-0.0985,15.67,9.96
bb_small_arm6_v2_nse_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,0k-40k,697,12.9392,4.9573,4.7027,-7.9819,17.42,7.38
bb_small_arm6_v2_nse_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,40k-100k,300,5.0075,4.9876,4.7101,-0.0199,215.60,17.20
bb_small_arm6_v2_tr1_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,16.6659,11.7583,11.7344,-4.9076,25.67,11.66
bb_small_arm6_v2_tr1_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,11.7562,11.7543,11.7315,-0.0019,23.82,14.23
bb_small_arm6_v2_tr1_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,0k-40k,697,16.4649,11.8249,11.7773,-4.6400,18.50,9.02
bb_small_arm6_v2_tr1_lalign_lrepmoco_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090_alignteacher,40k-100k,300,11.8154,11.7938,11.7512,-0.0217,38.31,10.78
bb_small_bimoco_combab_split_pred_rep_moco_bothsides_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,18.5084,14.9775,14.6557,-3.5309,11.42,5.40
bb_small_bimoco_combab_split_pred_rep_moco_bothsides_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,15.0454,15.2279,14.5423,+0.1825,10.91,7.20
bb_small_bimoco_ncpc_split_pred_rep_moco_bothsides_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,14.7495,9.1041,8.4297,-5.6454,19.54,6.15
bb_small_bimoco_ncpc_split_pred_rep_moco_bothsides_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,9.1341,9.2984,8.5465,+0.1642,21.70,9.77
bb_small_bimoco_nse_split_pred_rep_moco_bothsides_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,18.9852,7.4490,6.8909,-11.5361,14.67,7.40
bb_small_bimoco_nse_split_pred_rep_moco_bothsides_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,7.4658,7.3868,6.8324,-0.0790,14.52,8.96
bb_small_bimoco_split_pred_rep_moco_bothsides_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,898,20.0526,7.5998,7.1155,-12.4528,18.41,7.83
bb_small_bimoco_split_pred_rep_moco_bothsides_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,7.6981,7.6939,7.0583,-0.0042,16.47,7.77
bb_small_bimoco_split_pred_rep_moco_bothsides_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,100k-200k,500,7.7740,7.7326,7.2348,-0.0414,17.11,9.17
bb_small_bimoco_tr1_split_pred_rep_moco_bothsides_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,0k-40k,698,22.5716,14.8331,14.0788,-7.7385,12.95,6.59
bb_small_bimoco_tr1_split_pred_rep_moco_bothsides_enc3l3_b64_200k_sigreg_ema_qk_aon_cpc_tau090,40k-100k,300,14.9154,14.5558,14.1383,-0.3595,187.95,20.85
