step,loss,loss_tau_ref,gap,ff,fp,tp,cross_batch,hf_rows_consumed,synth_rows_consumed,mixup_applied,r2_random,r2_naive,u_temporal,u_batch,auc,top1
11,11.298714637756348,15.21592903137207,0.0012297332286834,0.3092915117740631,0.3080617785453796,0.5873318910598755,0.3077329695224762,2816,0,1,-0.1782972812652588,-0.6934545040130615,0.0079146595671772,0.0082560926675796,0.5185191631317139,0.227485790848732
12,11.26418399810791,14.30406665802002,0.001102864742279,0.3744867444038391,0.37338387966156,0.5990323424339294,0.3726783394813537,3072,0,0,-0.229928970336914,-0.5742859840393066,0.0074606915004551,0.0075848400592803,0.5125177502632141,0.2139204442501068
13,11.22510051727295,13.491952896118164,0.0011304318904876,0.4355916678905487,0.434461236000061,0.6531988978385925,0.4334364831447601,3328,0,0,-0.3395001888275146,-0.6442092657089233,0.0062597217038273,0.0065575004555284,0.5107421875,0.2101562470197677
14,11.199193000793455,12.72260856628418,0.0006431341171264,0.5089402198791504,0.5082970857620239,0.7487279176712036,0.5067562460899353,3584,0,0,-0.5950676202774048,-0.9819806814193726,0.0050003551878035,0.0050266562029719,0.5053799748420715,0.2139204442501068
15,11.170334815979004,12.192194938659668,0.0006652474403381,0.5661777853965759,0.5655125379562378,0.8288469314575195,0.56379634141922,3840,0,1,-0.939627170562744,-1.5921697616577148,0.0041705919429659,0.0042085540480911,0.5117542743682861,0.2140624970197677
16,11.148194313049316,11.789400100708008,0.0004481077194213,0.6202067732810974,0.619758665561676,0.8759547472000122,0.617706835269928,4096,0,1,-1.4970836639404297,-2.1291756629943848,0.0035808223765343,0.0036136573180556,0.5113636255264282,0.2146306782960891
17,11.134159088134766,11.5486421585083,0.0002843141555786,0.6635152697563171,0.6632309556007385,0.9092459678649902,0.6608635783195496,4352,0,0,-2.0393965244293213,-2.8203189373016357,0.0032852720469236,0.0033063462469726,0.5127130746841431,0.2146306782960891
18,11.124408721923828,11.39268684387207,0.0002184510231018,0.7022217512130737,0.7020033001899719,0.9314076900482178,0.6994363069534302,4608,0,1,-2.6284918785095215,-3.47458553314209,0.0030889031477272,0.0031019644811749,0.5143820643424988,0.2193181812763214
19,11.118837356567385,11.299860954284668,0.0001670718193054,0.7367730736732483,0.7366060018539429,0.9479702711105348,0.7338687181472778,4864,0,0,-3.130467414855957,-4.189947605133057,0.0029648547060787,0.0029761800542473,0.5100141763687134,0.2130681723356247
20,11.115232467651367,11.243200302124023,0.0002007484436035,0.7671579718589783,0.7669572234153748,0.9571735858917236,0.7641461491584778,5120,0,0,-3.629702568054199,-4.606753826141357,0.00288742268458,0.002890408039093,0.513867199420929,0.219531238079071
21,11.11201000213623,11.204195022583008,0.0001459121704101,0.7931338548660278,0.7929879426956177,0.9665897488594056,0.790014922618866,5376,0,0,-3.9022488594055176,-5.430675983428955,0.0028382465243339,0.002845415379852,0.5110973119735718,0.2160511314868927
22,11.10950756072998,11.177305221557615,0.0001347064971923,0.8163899779319763,0.8162552714347839,0.9705941677093506,0.8131762742996216,5632,0,0,-4.051374435424805,-5.498190402984619,0.0028081710916012,0.0028125080280005,0.5133700370788574,0.2163352221250534
23,11.107428550720217,11.158502578735352,0.0001577734947204,0.8373128771781921,0.8371551036834717,0.9743946194648744,0.8339940309524536,5888,0,0,-4.1563615798950195,-5.585327625274658,0.0027809662278741,0.0027815126813948,0.498810350894928,0.2098011225461959
24,11.105938911437988,11.145291328430176,0.000131070613861,0.854108452796936,0.853977382183075,0.973796844482422,0.850755512714386,6144,0,1,-3.687906265258789,-4.714751243591309,0.0027720117941498,0.0027772726025432,0.5105646252632141,0.2154119312763214
25,11.104918479919434,11.137529373168944,0.0001201033592224,0.870341956615448,0.8702218532562256,0.9776850342750548,0.8669263124465942,6400,0,0,-3.7021217346191406,-4.988929271697998,0.0027547760400921,0.0027585844509303,0.5122513771057129,0.2174005657434463
