step,latent,kind,step_ref,delta_step,drift_cos,drift_cos_aligned,rot_gap,cka
12500,teacher_h,vs_initial,0,12500,0.836690,0.679376,0.157314,0.040284
13000,student_h,adjacent,12500,500,0.000499,0.000100,0.000398,0.966343
13000,student_h,vs_initial,0,13000,0.837781,0.679346,0.158435,0.040230
13000,teacher_h,adjacent,12500,500,0.000498,0.000090,0.000409,0.971626
13000,teacher_h,vs_initial,0,13000,0.837793,0.679348,0.158445,0.039992
13500,student_h,adjacent,13000,500,0.000621,0.000112,0.000509,0.956369
13500,student_h,vs_initial,0,13500,0.838842,0.679498,0.159344,0.037865
13500,teacher_h,adjacent,13000,500,0.000552,0.000100,0.000452,0.962041
13500,teacher_h,vs_initial,0,13500,0.838906,0.679491,0.159415,0.037879
14000,student_h,adjacent,13500,500,0.000525,0.000102,0.000422,0.964193
14000,student_h,vs_initial,0,14000,0.839933,0.679742,0.160191,0.036497
14000,teacher_h,adjacent,13500,500,0.000464,0.000090,0.000374,0.969532
14000,teacher_h,vs_initial,0,14000,0.839730,0.679694,0.160036,0.037590
14500,student_h,adjacent,14000,500,0.000611,0.000101,0.000510,0.965568
14500,student_h,vs_initial,0,14500,0.841634,0.679593,0.162041,0.035103
14500,teacher_h,adjacent,14000,500,0.000513,0.000083,0.000430,0.972583
14500,teacher_h,vs_initial,0,14500,0.841423,0.679657,0.161766,0.035174
15000,student_h,adjacent,14500,500,0.000498,0.000104,0.000394,0.965062
15000,student_h,vs_initial,0,15000,0.842937,0.679582,0.163355,0.032333
15000,teacher_h,adjacent,14500,500,0.000492,0.000089,0.000403,0.972133
15000,teacher_h,vs_initial,0,15000,0.843007,0.679598,0.163408,0.032668
15500,student_h,adjacent,15000,500,0.000621,0.000135,0.000487,0.957251
15500,student_h,vs_initial,0,15500,0.844969,0.679463,0.165506,0.031962
15500,teacher_h,adjacent,15000,500,0.000524,0.000121,0.000404,0.958197
15500,teacher_h,vs_initial,0,15500,0.845139,0.679457,0.165682,0.032223
16000,student_h,adjacent,15500,500,0.000485,0.000134,0.000351,0.960917
16000,student_h,vs_initial,0,16000,0.845925,0.679272,0.166653,0.029941
16000,teacher_h,adjacent,15500,500,0.000432,0.000122,0.000310,0.962771
16000,teacher_h,vs_initial,0,16000,0.846163,0.679330,0.166833,0.030180
16500,student_h,adjacent,16000,500,0.000564,0.000139,0.000424,0.961967
16500,student_h,vs_initial,0,16500,0.848013,0.679415,0.168597,0.031708
16500,teacher_h,adjacent,16000,500,0.000506,0.000119,0.000388,0.967502
16500,teacher_h,vs_initial,0,16500,0.847773,0.679334,0.168439,0.031067
17000,student_h,adjacent,16500,500,0.000750,0.000140,0.000610,0.959313
17000,student_h,vs_initial,0,17000,0.848953,0.679298,0.169655,0.027314
17000,teacher_h,adjacent,16500,500,0.000604,0.000124,0.000480,0.964195
17000,teacher_h,vs_initial,0,17000,0.849053,0.679300,0.169754,0.027245
17500,student_h,adjacent,17000,500,0.000662,0.000170,0.000493,0.953080
17500,student_h,vs_initial,0,17500,0.851399,0.679186,0.172212,0.024868
17500,teacher_h,adjacent,17000,500,0.000643,0.000157,0.000487,0.955679
17500,teacher_h,vs_initial,0,17500,0.851349,0.679235,0.172114,0.024646
18000,student_h,adjacent,17500,500,0.000742,0.000153,0.000589,0.957604
18000,student_h,vs_initial,0,18000,0.853647,0.679586,0.174060,0.021520
18000,teacher_h,adjacent,17500,500,0.000645,0.000139,0.000506,0.960863
18000,teacher_h,vs_initial,0,18000,0.854100,0.679619,0.174480,0.021037
18500,student_h,adjacent,18000,500,0.000697,0.000152,0.000545,0.962389
18500,student_h,vs_initial,0,18500,0.857639,0.679698,0.177942,0.018790
18500,teacher_h,adjacent,18000,500,0.000643,0.000145,0.000498,0.963346
18500,teacher_h,vs_initial,0,18500,0.857862,0.679786,0.178076,0.018727
19000,student_h,adjacent,18500,500,0.000552,0.000142,0.000409,0.974932
19000,student_h,vs_initial,0,19000,0.860307,0.679703,0.180604,0.017097
19000,teacher_h,adjacent,18500,500,0.000507,0.000130,0.000377,0.976736
19000,teacher_h,vs_initial,0,19000,0.859951,0.679741,0.180210,0.017172
19500,student_h,adjacent,19000,500,0.000644,0.000182,0.000463,0.963450
19500,student_h,vs_initial,0,19500,0.861253,0.679682,0.181571,0.016813
