name,tau,encoder_type,sample_idx,skip_rows,r2_random,r2_naive,u_temporal,u_batch,auc,top1
enc_fcst_tau_0_10_50k,0.1,gru,26,72224800,0.9969000669661909,0.8879281654953957,0.004662439227104187,0.021020805463194847,0.9798598885536194,0.9448381066322327
enc_fcst_tau_0_10_50k,0.1,gru,27,73079600,0.996046130079776,0.7764930427074432,0.0043454859405756,0.021513886749744415,0.9753803610801697,0.9352701306343079
enc_fcst_tau_0_10_50k,0.1,gru,28,73934400,0.996673502959311,0.8662997633218765,0.004471823573112488,0.021809058263897896,0.9833628535270691,0.9541213512420654
enc_fcst_tau_0_10_50k,0.1,gru,29,74789200,0.9969642122741789,0.8686826527118683,0.004456338472664356,0.020360298454761505,0.9806585311889648,0.946561872959137
enc_fcst_tau_0_10_50k,0.1,gru,30,75644000,0.9972141070757061,0.8480784893035889,0.004260590299963951,0.020220687612891197,0.9749217629432678,0.9351910948753357
enc_fcst_tau_0_10_50k,0.1,gru,31,76498800,0.9968167552724481,0.8821492493152618,0.004523825366050005,0.020680468529462814,0.9781005382537842,0.9399038553237915
enc_fcst_tau_0_10_50k,0.1,gru,32,77353600,0.9967310547363013,0.8751210272312164,0.004651564173400402,0.021974114701151848,0.9790217280387878,0.9416118860244751
enc_fcst_tau_0_10_50k,0.1,gru,33,78208400,0.996558063197881,0.8358152359724045,0.0043817078694701195,0.020963426679372787,0.979460597038269,0.9426714777946472
enc_fcst_tau_0_10_50k,0.1,gru,34,79063200,0.9963550460524857,0.8809642866253853,0.00460816640406847,0.0214366652071476,0.9795712828636169,0.9463088512420654
enc_fcst_tau_0_10_50k,0.1,gru,35,79918000,0.9968390273861587,0.8789165318012238,0.004628991708159447,0.021777529269456863,0.9762580990791321,0.9398248195648193
enc_fcst_tau_0_10_50k,0.1,gru,36,80772800,0.9962770186830312,0.8668795675039291,0.004514678381383419,0.02176765352487564,0.9795199036598206,0.9444426894187927
enc_fcst_tau_0_10_50k,0.1,gru,37,81627600,0.9970208301674575,0.9086664542555809,0.004851127974689007,0.02204497903585434,0.9783693552017212,0.9431933164596558
enc_fcst_tau_0_10_50k,0.1,gru,38,82482400,0.9959967443719506,0.8210033923387527,0.004297965206205845,0.020636413246393204,0.9780609607696533,0.9406471848487854
