label,k,reduce,stop_k,step_k,time_pair_cos,time_eff_rank,time_dim_std,n_series,n_times,H,checkpoint
k=0  step 100k,0,n/a,100,100,0.1941533088684082,7.33273355500035,0.1923558179821287,21,32,64,/home/jupyter/checkpoints_backup/cf-393/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_100k.pth
k=8  step  20k,8,sum,40,20,0.9999998807907104,1.0003314208647733,1.7841875042234148,21,32,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k8_20k.pth
k=8  step  60k,8,sum,100,60,0.9999998807907104,1.0000644317445686,1.3713279281343733,21,32,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k8_60k.pth
k=8  step  80k,8,sum,100,80,0.9999991655349731,1.0014410476141387,0.29439067982491995,21,32,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k8_80k.pth
k=8  step 120k,8,sum,200,120,0.9999998807907104,1.0008232000814081,7.669558638618106,21,32,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_120k.pth
k=8  step 140k,8,sum,200,140,1.0,1.012500135735527,1.9221605970745994,21,32,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_140k.pth
k=8  step 160k,8,sum,200,160,1.0,1.004092349549882,3.052653329713004,21,32,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_160k.pth
k=8  step 180k,8,sum,200,180,1.0,1.578825324783377,0.192481320528757,21,32,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_180k.pth
k=8  step 200k,8,sum,200,200,1.0,1.0320627055936846,1.0720514115833102,21,32,64,/home/jupyter/checkpoints_backup/cf-401/k8/arm6_v2_combab_alignS/leg_200k/cf393_arm6_v2_combab_alignS_cf373k8_200k.pth
k=16 step  20k,16,sum,40,20,0.9999991059303284,1.3893973649247795,0.19456647904146285,21,32,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_40k/cf393_arm6_v2_combab_alignS_cf373k16_20k.pth
k=16 step  60k,16,sum,100,60,0.999996542930603,1.0024379651394093,0.13352797286851065,21,32,64,/home/jupyter/checkpoints_backup/cf-401/k16/arm6_v2_combab_alignS/leg_100k/cf393_arm6_v2_combab_alignS_cf373k16_60k.pth
