arm,step_a,step_b,delta_step,kind,drift_cos,drift_cos_aligned,rot_gap,cka
arm4,20000,22000,2000,adjacent,0.495541,0.312239,0.183301,0.709328
arm4,2000,22000,20000,vs_first,0.948724,0.630903,0.317821,0.332715
arm4,22000,25000,3000,adjacent,0.511854,0.320048,0.191806,0.708165
arm4,2000,25000,23000,vs_first,0.955647,0.640934,0.314712,0.323233
arm4,25000,30000,5000,adjacent,0.672206,0.410754,0.261451,0.642842
arm4,2000,30000,28000,vs_first,0.958974,0.656823,0.302151,0.294693
arm4,30000,35000,5000,adjacent,0.675521,0.419141,0.256380,0.598377
arm4,2000,35000,33000,vs_first,0.961622,0.662474,0.299148,0.268359
arm4,35000,40000,5000,adjacent,0.671538,0.417379,0.254159,0.568484
arm4,2000,40000,38000,vs_first,0.967327,0.669102,0.298225,0.257962
arm4,40000,45000,5000,adjacent,0.671822,0.430495,0.241327,0.577753
arm4,2000,45000,43000,vs_first,0.971026,0.678096,0.292930,0.250660
arm4,45000,50000,5000,adjacent,0.696691,0.446223,0.250468,0.546513
arm4,2000,50000,48000,vs_first,0.978291,0.699606,0.278685,0.211620
arm5,2000,5000,3000,adjacent,0.968606,0.357352,0.611254,0.652812
arm5,5000,7000,2000,adjacent,0.910005,0.304305,0.605700,0.783003
arm5,2000,7000,5000,vs_first,0.975806,0.366140,0.609665,0.639118
arm5,7000,10000,3000,adjacent,0.831954,0.235855,0.596099,0.843635
arm5,2000,10000,8000,vs_first,0.982984,0.329187,0.653797,0.645455
arm5,10000,12000,2000,adjacent,0.871428,0.133389,0.738039,0.891869
arm5,2000,12000,10000,vs_first,0.984441,0.348918,0.635523,0.621845
arm5,12000,15000,3000,adjacent,0.837190,0.117758,0.719432,0.921328
arm5,2000,15000,13000,vs_first,0.982052,0.359351,0.622701,0.628145
arm5,15000,17000,2000,adjacent,0.773045,0.139836,0.633209,0.871870
arm5,2000,17000,15000,vs_first,0.995929,0.380521,0.615408,0.596348
arm5,17000,20000,3000,adjacent,0.782838,0.186223,0.596615,0.823578
arm5,2000,20000,18000,vs_first,0.994637,0.395746,0.598891,0.548785
arm5,20000,22000,2000,adjacent,0.803071,0.282286,0.520785,0.715103
arm5,2000,22000,20000,vs_first,0.993571,0.392938,0.600633,0.493202
arm5,22000,25000,3000,adjacent,0.853586,0.374259,0.479327,0.498655
arm5,2000,25000,23000,vs_first,0.979106,0.463492,0.515614,0.387540
arm5,25000,30000,5000,adjacent,0.927487,0.453836,0.473652,0.357096
arm5,2000,30000,28000,vs_first,0.993664,0.552514,0.441150,0.266244
arm5,30000,35000,5000,adjacent,0.954046,0.472805,0.481241,0.352825
arm5,2000,35000,33000,vs_first,0.995697,0.599353,0.396344,0.272597
arm5,35000,40000,5000,adjacent,0.960063,0.428386,0.531678,0.397991
arm5,2000,40000,38000,vs_first,1.002900,0.588390,0.414510,0.253447
arm5,40000,45000,5000,adjacent,0.949709,0.459072,0.490637,0.356214
arm5,2000,45000,43000,vs_first,0.995392,0.565717,0.429675,0.307459
arm5,45000,50000,5000,adjacent,0.922244,0.453057,0.469187,0.420526
arm5,2000,50000,48000,vs_first,0.993192,0.556841,0.436350,0.338225
arm6v2,2000,5000,3000,adjacent,0.577056,0.244875,0.332181,0.691469
arm6v2,5000,7000,2000,adjacent,0.548048,0.232184,0.315864,0.722078
arm6v2,2000,7000,5000,vs_first,0.685434,0.295799,0.389634,0.652112
arm6v2,7000,10000,3000,adjacent,0.453311,0.199226,0.254085,0.779372
arm6v2,2000,10000,8000,vs_first,0.738881,0.325163,0.413718,0.619086
arm6v2,10000,12000,2000,adjacent,0.436359,0.220073,0.216286,0.721849
arm6v2,2000,12000,10000,vs_first,0.793000,0.372584,0.420416,0.555497
arm6v2,12000,15000,3000,adjacent,0.458216,0.234601,0.223615,0.716430
arm6v2,2000,15000,13000,vs_first,0.818844,0.406408,0.412436,0.503765
arm6v2,15000,17000,2000,adjacent,0.399946,0.210254,0.189692,0.722733
arm6v2,2000,17000,15000,vs_first,0.855385,0.447934,0.407451,0.426759
arm6v2,17000,20000,3000,adjacent,0.391463,0.181940,0.209523,0.752586
arm6v2,2000,20000,18000,vs_first,0.888984,0.467186,0.421797,0.393896
arm6v2,20000,22000,2000,adjacent,0.474571,0.207706,0.266865,0.719119
arm6v2,2000,22000,20000,vs_first,0.902326,0.483656,0.418671,0.350618
arm6v2,22000,25000,3000,adjacent,0.610848,0.289990,0.320858,0.612211
arm6v2,2000,25000,23000,vs_first,0.921619,0.478972,0.442647,0.350054
arm6v2,25000,30000,5000,adjacent,0.627117,0.274340,0.352778,0.623855
arm6v2,2000,30000,28000,vs_first,0.948157,0.506234,0.441923,0.313421
arm6v2,30000,35000,5000,adjacent,0.583215,0.243032,0.340184,0.659623
arm6v2,2000,35000,33000,vs_first,0.956090,0.525925,0.430164,0.275990
arm6v2,35000,40000,5000,adjacent,0.575244,0.228943,0.346302,0.674379
arm6v2,2000,40000,38000,vs_first,0.960918,0.550296,0.410622,0.265400
arm6v2,40000,45000,5000,adjacent,0.426505,0.233598,0.192908,0.705617
arm6v2,2000,45000,43000,vs_first,0.959441,0.573740,0.385700,0.284303
arm6v2,45000,50000,5000,adjacent,0.422772,0.217221,0.205551,0.715750
arm6v2,2000,50000,48000,vs_first,0.964600,0.549663,0.414937,0.313325
bimoco,2000,5000,3000,adjacent,0.628023,0.238695,0.389328,0.664517
bimoco,5000,7000,2000,adjacent,0.545084,0.231362,0.313722,0.680753
bimoco,2000,7000,5000,vs_first,0.710824,0.308369,0.402455,0.568589
bimoco,7000,10000,3000,adjacent,0.483587,0.218410,0.265177,0.668734
bimoco,2000,10000,8000,vs_first,0.726443,0.306009,0.420434,0.586101
bimoco,10000,12000,2000,adjacent,0.499876,0.230142,0.269735,0.678456
bimoco,2000,12000,10000,vs_first,0.737956,0.322111,0.415845,0.596084
bimoco,12000,15000,3000,adjacent,0.420094,0.196387,0.223707,0.726476
bimoco,2000,15000,13000,vs_first,0.762133,0.332305,0.429828,0.603891
bimoco,15000,17000,2000,adjacent,0.540309,0.240252,0.300057,0.649143
bimoco,2000,17000,15000,vs_first,0.785951,0.361675,0.424276,0.544955
bimoco,17000,20000,3000,adjacent,0.470473,0.190833,0.279640,0.731072
bimoco,2000,20000,18000,vs_first,0.814629,0.359142,0.455486,0.577845
bimoco,20000,22000,2000,adjacent,0.411882,0.163404,0.248477,0.789504
bimoco,2000,22000,20000,vs_first,0.828988,0.374754,0.454234,0.561612
bimoco,22000,25000,3000,adjacent,0.401159,0.164116,0.237043,0.782508
bimoco,2000,25000,23000,vs_first,0.846757,0.380341,0.466416,0.555166
